accuracy,f1_phishing,precision,recall,noise_level,run
0.97,0.9722,0.9722,0.9722,noise_10,1
0.905,0.9163,0.8739,0.963,noise_10,2
0.955,0.9585,0.9541,0.963,noise_10,3
