accuracy,f1_phishing,precision,recall,noise_level,run
0.935,0.9427,0.8992,0.9907,noise_15,1
0.93,0.932,0.9796,0.8889,noise_15,2
0.975,0.9767,0.9813,0.9722,noise_15,3
